Number of Colors,Delta E,Colors
0,0,
2,101.042443068,'#ffffff','#000032'
3,82.5544871936,'#ffffff','#003a01','#0600fe'
4,66.9124540898,'#ffffff','#000016','#017200','#c800fe'
5,64.1773062854,'#ffffff','#0568fe','#007e00','#010006','#e3001c'
6,57.7917735241,'#ffffff','#031c01','#fe3efd','#01a200','#00006c','#bd3c00'
7,54.4418868177,'#ffffff','#02008c','#14b605','#371c01','#fe5afd','#fe6201','#057894'
8,51.7017982776,'#ffffff','#5b0004','#0f81a6','#de7d01','#0100ac','#004c00','#fe59b7','#03df03'
9,49.4945653221,'#ffffff','#0101c4','#0afe33','#0e7ea4','#96012a','#01580b','#fd79fe','#d98e01','#000c14'
10,46.8804225014,'#ffffff','#750b01','#b6fe00','#fd4a9f','#003300','#0a9ff6','#fb8501','#01001b','#04a28a','#0500e5'
11,43.9743516249,'#ffffff','#016680','#f7fe02','#0201e0','#0a2b02','#fe5a6d','#030020','#917201','#ae9bfe','#06be90','#670100'
12,42.7475157449,'#ffffff','#000033','#fe8f4f','#001900','#2600fe','#5e6701','#86a5fd','#6d0101','#03cd95','#f9088c','#fefe15','#0e6976'
13,41.0916886919,'#ffffff','#580000','#0fb7ac','#fe0dad','#547101','#040028','#f71f01','#0000e4','#fdba08','#051f02','#82aafe','#0efe16','#035872'
14,39.7677893765,'#ffffff','#780132','#07bbb8','#0300c4','#915401','#66aefe','#febf1c','#02566f','#06fe46','#02001f','#fe8d91','#092304','#fb00fd','#017b01'
15,38.6187605801,'#ffffff','#8f014d','#037602','#3046fd','#09ccb8','#fd0001','#074c6b','#feb000','#0babfd','#593501','#fd8ce5','#010301','#81fe09','#000158','#958984'
16,38.0544188973,'#ffffff','#023100','#0264fe','#feb014','#a90166','#0cceb6','#00000c','#568700','#fea8f7','#592001','#8dfe0f','#01516a','#fe0001','#1dbbfd','#01007c','#988b86'
17,36.7849211951,'#ffffff','#da010b','#030021','#9d8d8a','#0100b8','#fe9d04','#18c1e7','#4d0500','#01a109','#cc028b','#031c02','#067ce8','#d5fe08','#0b5867','#feaffe','#625001','#20fece'
18,35.7337410572,'#ffffff','#094a6c','#0efdd9','#3259fe','#704f02','#2cb1fe','#3b9600','#02000e','#a8918d','#070078','#fea8fd','#b5fe0d','#d20e80','#013720','#fea903','#620016','#018f8f','#fd0001'
19,35.1766722667,'#ffffff','#0e01d1','#0a8e81','#d9039d','#05bf02','#63012a','#feb5fe','#014b00','#fefe08','#958386','#000033','#db9002','#0382fd','#031002','#2acbfe','#fe0b2f','#034b68','#14fee0','#713f01'
20,34.4270756395,'#ffffff','#573002','#0ffee9','#dc0327','#43c9fd','#021003','#dd01ae','#937f01','#0080fe','#005004','#feb8fe','#000033','#feaa85','#02455e','#0ac92f','#0900cf','#0c9085','#6a0036','#fefe01','#8b7c84'
21,33.7775984986,'#ffffff','#02405b','#fed403','#01013f','#fea990','#1780f0','#a07403','#0afee8','#826f73','#1afe14','#522a02','#f0b9fe','#010601','#029101','#0600e3','#01401b','#f6059b','#038584','#71013d','#4ecdfe','#d70119'
22,32.9412009235,'#ffffff','#00004f','#042c02','#4487fe','#dd0330','#1bfeee','#512604','#11c3f6','#a46b01','#eb01b9','#9fae8e','#070003','#017701','#febcfd','#750143','#0afd37','#8a747e','#fed803','#0f7476','#0103fa','#feaa94','#024673'
