Number of Colors,Delta E,Colors
0,0,
2,100.023544747,'#ffffff','#000000'
3,83.2969906653,'#ffffff','#0100fa','#9d0000'
4,81.2961316368,'#ffffff','#c90000','#004300','#2308fe'
5,69.9678561066,'#ffffff','#007b00','#015bfe','#ff02bb','#280004'
6,65.4134380704,'#ffffff','#00fe00','#ff5800','#e704fe','#004c00','#000178'
7,63.5795578379,'#ffffff','#0973fe','#ff5e00','#1cff01','#fe04fe','#015200','#410029'
8,54.5665673946,'#ffffff','#a77400','#ff78fd','#0292fe','#12ff01','#fe011e','#4d0174','#011301'
9,53.0809378946,'#ffffff','#0186a3','#a67c00','#00ff15','#fe05e7','#ff2700','#5000fe','#600032','#011800'
10,51.0740765122,'#ffffff','#00a177','#dbff00','#f08500','#1397fe','#a70cfe','#ff0477','#5a0000','#001e00','#00006d'
11,48.9046315745,'#ffffff','#00b17e','#c17e26','#f1fe01','#04a5fe','#fe00d1','#6e02fe','#fe0000','#023200','#550000','#00003b'
12,46.0727288677,'#ffffff','#d1a100','#a3718d','#06a3fd','#00a27a','#1afe01','#fe00fe','#6304fe','#fe0102','#012c00','#4b0000','#01003d'
13,44.0917150353,'#ffffff','#fe98fe','#00ffb3','#e68848','#fff100','#0a92a4','#415efd','#008203','#fe005d','#89008c','#641a00','#001b00','#00004f'
14,42.5482813084,'#ffffff','#06bcfe','#fe98fe','#ffe500','#716a71','#e06f00','#508500','#01fe01','#0f49fe','#fe0168','#890194','#001e00','#490000','#060043'
15,42.2768600375,'#ffffff','#00ffc2','#0ac0fa','#d29aff','#757273','#e39000','#efff04','#029100','#0055fe','#fe00b2','#ff2e00','#71008a','#681100','#002d00','#000023'
16,40.2641873127,'#ffffff','#00ffd2','#fda4fe','#42c1fe','#ae8e23','#eeff03','#835f76','#03776a','#05ab00','#c83f00','#0657db','#fe0292','#9f00e2','#400000','#021500','#120141'
17,38.7154987805,'#ffffff','#07d0ee','#9e8687','#fffb56','#fe9afe','#ff9200','#00a45e','#4784fe','#03fe00','#035069','#494900','#c80082','#9800fe','#ff1c00','#7a1d00','#4c0154','#000000'
18,38.622948152,'#ffffff','#c9a2fe','#16ffd6','#fff549','#20c0fe','#ff9000','#b9596d','#036b6c','#745700','#28fe03','#028c02','#005efe','#ff04dd','#7802a6','#fe0000','#430007','#011000','#00004d'
19,37.4823839281,'#ffffff','#7cb5fe','#ffa659','#ffa7fe','#00f6ce','#fff60b','#7d5f86','#057d7f','#845300','#328f02','#00fe02','#ff3800','#fe02a2','#0147fe','#b100fe','#88002a','#013200','#000059','#180000'
20,35.8798116529,'#ffffff','#829e85','#ffb153','#feabfe','#03ffd4','#05c4fd','#f8fe01','#747dfe','#8d577e','#00cb04','#724a00','#015670','#ff4f00','#006700','#c301fb','#fe048f','#87000c','#1f01a3','#011300','#29001d'
21,35.2362376395,'#ffffff','#ffa7e2','#95908e','#5affce','#05ccfe','#9093fe','#fffe03','#ff9300','#8f9700','#b4485c','#07e800','#016292','#00643f','#6b4400','#fe03cc','#8300a3','#fe0000','#0208fd','#3f0019','#01004d','#020a01'
22,33.9872804527,'#ffffff','#a8b069','#ffa3b8','#55d2fd','#02ffc8','#bd8cff','#fffe00','#02807b','#0078e1','#61526c','#ff6400','#815100','#07fe01','#078900','#fe04fe','#fe026f','#900076','#6201df','#900100','#002d00','#2b0300','#000032'
23,33.5977518009,'#ffffff','#5dd4fe','#f1b257','#ff98b8','#00ffc8','#fbfe01','#b988fe','#78aa3b','#776179','#027f81','#0378dd','#835b00','#ff6200','#05fe04','#fe07fe','#fe016f','#045400','#91007b','#5a01d9','#950400','#360013','#010e05','#000052'
24,32.8258091186,'#ffffff','#ffa5b1','#bab1fe','#fff66c','#7aa188','#01cbfe','#00ffc8','#c28900','#84657f','#ff6dfe','#80fe00','#0470e0','#ff6100','#039b09','#044e60','#643b00','#ff016d','#9d0088','#7a04fe','#004601','#960400','#14017b','#3e0020','#010300'
25,31.9925508568,'#ffffff','#ffa7a9','#c9b1fe','#879893','#09d6fe','#06ffc3','#ffaa00','#f8ff0c','#77af3a','#9b5969','#048afc','#866500','#ff5d00','#02fe00','#9949fe','#02556f','#fe01f8','#fe0070','#005b00','#001fc2','#980000','#5d016e','#081300','#340004','#00002f'
26,31.0940069648,'#ffffff','#98d28d','#ffabcd','#ffc266','#16f4fe','#b096fe','#08a7f0','#fffe01','#a8625a','#068777','#8e7c00','#565e7d','#ff6a00','#ff58f5','#0efe03','#029700','#0055fd','#ff0458','#9101ee','#a10075','#4c2a00','#004500','#810000','#011a21','#3a002d','#00007e'
27,30.5147074697,'#ffffff','#a9bafe','#ffb187','#b8ffa6','#11faff','#ff9ee9','#979e59','#ffd700','#059894','#886c81','#b66000','#0275c0','#a465fe','#129f01','#15fe01','#ff4300','#fd04fe','#04444d','#e40272','#4f3100','#8d008d','#004e00','#0200fe','#910001','#410020','#01025f','#000000'
28,30.5172048043,'#ffffff','#a79c94','#9cbdfe','#ffb3f3','#98ffb3','#ffc35d','#08ebfd','#fcfe01','#009583','#887d00','#a070fe','#99506b','#ce6100','#ff5798','#0170b8','#00a00e','#15fe03','#36484c','#ed06fe','#613400','#004f00','#6f019a','#fe0000','#0701fe','#8d0000','#3f0024','#07015e','#000000'
29,29.5393607583,'#ffffff','#a0ffbe','#ffd56c','#a4bffd','#a2a08f','#0ae7fe','#ff9c98','#f09cfe','#00a87b','#e4fe01','#8e9901','#c87500','#6c648c','#00d311','#0176fe','#aa3c8c','#035c5d','#ff4e00','#624400','#fe02fd','#056000','#fe0173','#8d12fe','#9b0210','#0700b7','#460052','#001836','#001900','#380000'
30,29.2478662574,'#ffffff','#a7a4c1','#9bbc8e','#ffafa0','#69e6fe','#fd9dfe','#00ffb8','#ffbb00','#edfe0d','#089ffe','#947600','#018079','#ec5682','#df6500','#74546d','#4ea500','#0bfe01','#a64cfe','#004b7c','#fe03eb','#0346fe','#015801','#572f00','#970083','#fe0000','#8c0101','#430287','#420025','#011400','#000020'
31,28.7153494575,'#ffffff','#99c7fe','#98ad95','#ffbdfd','#ffca70','#a1ffae','#10f6fe','#ca817e','#fffd04','#048ca5','#a77c00','#81b000','#aa76ff','#ff7800','#00814d','#ff579f','#047efb','#6b4c69','#02fe01','#a63300','#ec01fe','#5a3600','#033f50','#9c0257','#7b01a9','#fe001b','#0601d8','#003400','#3e0015','#1b004a','#000000'
32,28.590906282,'#ffffff','#febefe','#96c9fe','#ffce71','#aa9d99','#9cffa9','#08f9fe','#ff9086','#00ac87','#fffe01','#9c86fe','#a98200','#c061a4','#74af04','#037cbe','#615169','#be4d00','#01605d','#0bff04','#603d00','#f606fe','#006700','#fd0386','#013cfd','#8b00dc','#ff0b00','#73005d','#33007d','#680000','#011c31','#002200','#150000'
33,28.0706281026,'#ffffff','#9aaf9b','#ffdb75','#b2c0fe','#79fbfe','#ffb2e0','#947997','#03a7cf','#00d88b','#e6fe00','#a29b00','#ff8c00','#da6668','#c07aff','#007b67','#407dfe','#05fe03','#055a86','#018d00','#8c4300','#515600','#4a3e41','#fe04fe','#fe0082','#a2028b','#ff2500','#6905fc','#950025','#46014d','#000593','#001800','#370000','#000013'
34,27.2940792005,'#ffffff','#aadb99','#fbc0fe','#ffb294','#06fef1','#958c8d','#48c7fe','#ffc100','#949bfe','#1ea394','#e6fe00','#d96c97','#969200','#bd690e','#00b03e','#0475b4','#79549d','#0bff0b','#803d43','#ff5300','#015756','#5c4700','#ff14dc','#006001','#ac01fe','#fd0067','#9c007b','#4001fe','#a40001','#012a7c','#42014c','#001a00','#280000','#00000d'
35,27.7509854841,'#ffffff','#b3d08e','#aec4fe','#ffb4c4','#73f2ff','#8e9090','#ffb243','#dd94ff','#00ffb0','#ffee00','#059cc4','#00a681','#b66470','#8b8300','#657bfe','#91ff08','#ff5cb7','#e95d00','#884da8','#0aad01','#584853','#015d57','#814400','#025594','#d503fd','#006300','#fe0243','#a60069','#2e2f00','#3300d7','#970300','#4d004c','#380200','#000158','#000000'
36,26.7696753418,'#ffffff','#d9befe','#ffb4a5','#7bf7fe','#b1ce88','#969b9f','#6cb9fd','#00ffae','#fff207','#04ad94','#ffac00','#ff82d2','#b16372','#9b8100','#047999','#a46ffe','#8eff08','#00b230','#515d4a','#635785','#d85d00','#0871fd','#783c00','#076500','#e600fe','#ff0382','#990262','#7701ae','#ff0701','#013048','#980100','#0601c2','#002400','#480014','#2c004a','#030000'
37,26.1865584532,'#ffffff','#c1de8f','#ffb99a','#cbbefe','#81fcfe','#99a6a5','#06bdfe','#ffc300','#00ffa8','#b06f58','#ff8af9','#00aa80','#9c9000','#ff6f87','#c1ff03','#956ac2','#ff7b00','#077890','#596849','#347dfe','#06bf00','#5f475d','#a9386d','#007401','#fe01b6','#c402fe','#633300','#023b96','#ff1108','#5901fe','#03313e','#660084','#990100','#013100','#4d001c','#180038','#0f0400'
38,26.0168752683,'#ffffff','#9bb0b2','#ffb8af','#dac0fd','#ffe881','#09eefe','#73ffb1','#68b3fe','#94af59','#ad815b','#ff81cc','#ff9a00','#dfff04','#00839d','#e96556','#a25c84','#c072ff','#008459','#565989','#656400','#02ab00','#0ffe00','#006bfd','#5e443c','#913400','#fe01fe','#ff0181','#9c01aa','#033d46','#6d01fe','#9a0043','#fe0001','#003500','#4a0055','#0100a6','#410007','#0f0800','#00002d'
