Number of Colors,Delta E,Colors
0,0,
1,95.3327814471,'#ffffff','#0a0406'
2,61.4591104608,'#ffffff','#cc1b20','#051315'
3,55.1395414844,'#ffffff','#1f7f3b','#cf371c','#17081c'
4,47.9768116979,'#ffffff','#339b3a','#d65468','#185fa0','#320708'
5,43.8058135946,'#ffffff','#5ca537','#2387c0','#da6326','#69226c','#0a351c'
6,39.8690761776,'#ffffff','#89b42c','#259ac1','#e17759','#1a542d','#26327d','#6a1418'
7,37.4851248817,'#ffffff','#2ea1ca','#e28727','#4ca139','#c3196f','#414087','#0e4124','#44050a'
8,35.3743552861,'#ffffff','#b3c426','#b185b0','#2ca39f','#7a6328','#ca191f','#125090','#54173c','#061f11'
9,34.324060626,'#ffffff','#c088b0','#e7a329','#40a7c5','#3d9d39','#6b5023','#ca181f','#0d4c6d','#70216f','#0d0507'
10,32.4948536702,'#ffffff','#dcd52a','#de8dad','#63b097','#a27624','#2373b0','#7d3982','#c51a21','#13562f','#112547','#400509'
11,31.6901912459,'#ffffff','#e89472','#e9dc31','#61b0d4','#8e6ca0','#459f37','#7d5925','#10666a','#c2153e','#27296d','#4c0815','#09180e'
12,30.3937057528,'#ffffff','#cb95b8','#69b3d6','#eade32','#d78215','#57a237','#0e6f6f','#853981','#694e22','#c81823','#16336f','#061d11','#3a0517'
13,28.8676586901,'#ffffff','#6db4bb','#d298b9','#eade33','#dd8417','#5aa438','#636da5','#0c6a5e','#734f23','#ca1920','#851f76','#21295a','#081e0f','#39050c'
14,27.4608191763,'#ffffff','#e5a0b9','#79b9b7','#ede35d','#db8817','#70a632','#267bb6','#9c4d8b','#12755e','#765825','#cf3022','#3a3481','#691318','#092f18','#170816'
15,26.6287993277,'#ffffff','#89bd98','#e79fac','#eade32','#279fcc','#c68816','#8671a4','#237e3b','#725840','#cf3b1c','#115a7a','#9c1470','#42276f','#0c391f','#570c10','#0b060c'
16,25.4155012223,'#ffffff','#eaa5a8','#95b5d6','#eee469','#c28717','#75ad32','#1e9587','#966fa3','#1c70ad','#795641','#cf3e1c','#225b30','#9c1964','#0d3a4c','#492672','#540c0f','#0a0406'
17,24.9970611473,'#ffffff','#96c49d','#a4b1d2','#ebde33','#dc81a2','#e49323','#908273','#178d98','#6269a2','#2b8d3b','#d1431b','#aa146f','#66411e','#0f4e2d','#0f3b5b','#542470','#380411','#09100a'
18,24.0415996547,'#ffffff','#97c59e','#b2aece','#eca972','#ebde33','#d8739a','#259cb1','#977626','#7c636f','#2d913a','#2361a1','#bd4220','#10635c','#a5136e','#4b3e1c','#512572','#671317','#092c46','#160708'
19,23.6174387841,'#ffffff','#8ec1b3','#efb285','#bbaccb','#eade33','#7aaa30','#d46894','#318bc4','#bc6b1d','#198777','#7d639c','#67692d','#bf1c26','#0b5372','#72371d','#841f66','#0b3f24','#3c2771','#36061b','#061321'
20,23.0985726695,'#ffffff','#a0c89f','#a5b7d6','#ebacb0','#eade32','#e2941a','#938772','#249897','#a470a2','#5176ae','#369c3b','#d14c1a','#4c5e2c','#7b4530','#b81165','#115761','#642465','#1a327a','#0b2714','#3f050a','#0d0919'
21,22.5918591905,'#ffffff','#afbb99','#eaaebe','#84bada','#eade33','#e39621','#91818a','#1c938a','#4fa037','#3a77b2','#c3528a','#886a28','#d24e19','#246534','#5c4546','#0b505e','#791e71','#343280','#881c21','#192813','#340708','#0b091f'
22,22.1684883398,'#ffffff','#c6b3ce','#95c4a0','#ede369','#e99a74','#68b3d7','#af9c1e','#8b8072','#9b689d','#168984','#339b3a','#4f72a9','#b45621','#ca2462','#3f5e2e','#584240','#0b4f5c','#75206f','#353380','#801a1f','#122411','#2e0708','#0a0d25'
23,21.769685473,'#ffffff','#efba89','#95c7e2','#9c9797','#e4db2f','#da7fa3','#77b044','#28a193','#da7018','#2186be','#8b7829','#7d679f','#935a55','#556265','#18763a','#ca1920','#a2146f','#14478e','#533c1b','#562471','#72161b','#06342b','#121939','#25080a'
24,21.4900785135,'#ffffff','#f1ba8b','#92c5df','#9cc799','#c5a8c7','#e8dd31','#89857c','#ac961e','#239c95','#db6f20','#d05f8d','#369c3a','#247db8','#82669d','#875224','#49602e','#135c63','#c91820','#504048','#7c1e71','#153f87','#74171c','#0e2b15','#09142b','#26080a'
25,21.2543702449,'#ffffff','#95c7e2','#efb784','#caacc9','#9ec898','#e9dd32','#88837c','#239f98','#a79221','#d5648a','#4382ba','#da6e16','#369c3a','#86639b','#865124','#13646a','#49612e','#c71921','#a0146d','#4b4145','#15478e','#542471','#72161b','#082010','#111736','#25080a'
26,20.7350749712,'#ffffff','#9dc9e3','#d9b3cd','#a8cca2','#eeb577','#eade32','#8d9084','#a39d22','#8f7ead','#2a8ec5','#d4658f','#2f9f63','#d96b1d','#876026','#0e6e74','#615962','#3c6431','#ca1925','#115295','#a11470','#5c297b','#791b1d','#473016','#073a34','#172247','#3b0a25','#0a0706'
27,20.5735430775,'#ffffff','#efe98e','#9dcae4','#ecaca1','#a5b197','#ad9bbf','#e4a21a','#9cba26','#27a2a2','#d56891','#6b7771','#8d8029','#25994b','#1c7db7','#c2641b','#70609a','#8c575c','#c91821','#614e23','#166033','#a8116e','#0f525f','#41343d','#602274','#17337a','#6b1418','#072a17','#0a0406'
28,20.270282176,'#ffffff','#f2c28d','#9ecbe5','#d4b6d0','#9ec79f','#eade32','#a48e7e','#838dbb','#b69e1a','#259da9','#d96e8e','#df792c','#249c5f','#596d6d','#835c7c','#6c722e','#935324','#1560a0','#ce2f1e','#b1126f','#503e34','#12532d','#0c3e4e','#801a1f','#622258','#302a75','#0e1b0c','#340708','#0f091c'
29,19.7868162744,'#ffffff','#a3cde6','#ebbace','#efe887','#b6b9a1','#9d98bf','#dfa319','#e38365','#98bc37','#49a88f','#2698c3','#80807c','#8b822a','#cf5285','#8a5a96','#9d594b','#4765a1','#106f77','#1d7d3c','#554c58','#cb1b1f','#474f26','#881d43','#623018','#5b246f','#053b42','#143373','#211c0c','#36061a','#0b0b22'
30,19.7405851322,'#ffffff','#a3cee7','#dcbad1','#f1c289','#9cc799','#eadf33','#a59788','#8f95be','#b4a11e','#df7786','#259db7','#df7f23','#4ea138','#9b6299','#1b836a','#945c4e','#76712c','#606569','#236caa','#cf3c1c','#c3196f','#24542c','#573c1b','#7c1d72','#483348','#054049','#0d3780','#79181d','#161c0d','#2c0808','#090c23'
31,19.2579816359,'#ffffff','#d7bbd4','#f3c693','#a3cce5','#a4caa5','#e1da2f','#939182','#8c93bd','#e4835c','#c49a13','#239cb7','#c673a0','#7eb030','#269e76','#996525','#637932','#8f545e','#1a6ca9','#6d5795','#0d6d6e','#c53e1e','#c5166e','#5b3c1b','#7e1d73','#234e29','#493147','#143780','#7e1a1f','#083a44','#1a1b0c','#330708','#0b0b22'
32,18.6027338323,'#ffffff','#a6cfe6','#e3bcd2','#f2c890','#a1c9a4','#dfd82f','#9897bf','#c08d78','#bf9b14','#249cc8','#2aa18b','#7a807e','#6fab33','#d26895','#d45a17','#7f6e2a','#835b96','#975456','#4169a5','#277c3a','#13646d','#544f5a','#c91643','#941872','#643c1c','#124a28','#2b337f','#7e1a1f','#0b3240','#4d214e','#201f0d','#350709','#12081d'
